Job,Machine,Processing_Time,Start_Time,End_Time
0,7,1,0,1
0,0,12,1,13
0,5,44,13,57
0,2,5,57,62
0,6,90,62,152
0,1,35,152,187
0,4,7,187,194
0,3,72,194,266
1,0,12,13,25
1,5,17,57,74
1,2,41,74,115
1,7,56,115,171
1,4,12,194,206
1,1,49,206,255
1,6,3,255,258
1,3,14,266,280
2,0,34,25,59
2,5,73,74,147
2,1,5,255,260
2,3,62,280,342
2,6,41,342,383
2,4,78,383,461
2,2,44,461,505
2,7,99,505,604
3,0,56,59,115
3,1,82,260,342
3,3,63,342,405
3,6,83,405,488
3,5,5,488,493
3,4,54,493,547
3,7,11,604,615
3,2,77,615,692
4,0,85,115,200
4,1,43,342,385
4,3,93,405,498
4,6,12,498,510
4,4,74,547,621
4,7,47,621,668
4,5,3,668,671
4,2,51,692,743
5,1,52,385,437
5,0,46,437,483
5,3,8,498,506
5,6,70,510,580
5,4,64,621,685
5,2,93,743,836
5,7,23,836,859
5,5,81,859,940
6,3,25,506,531
6,0,69,531,600
6,6,1,600,601
6,4,46,685,731
6,2,2,836,838
6,1,97,838,935
6,5,56,940,996
6,7,9,996,1005
7,3,70,531,601
7,4,52,731,783
7,6,61,783,844
7,0,91,844,935
7,1,56,935,991
7,5,42,996,1038
7,7,72,1038,1110
7,2,69,1110,1179
8,3,87,601,688
8,4,86,783,869
8,6,81,869,950
8,1,82,991,1073
8,0,45,1073,1118
8,5,11,1118,1129
8,7,67,1129,1196
8,2,54,1196,1250
9,4,69,869,938
9,3,50,938,988
9,6,22,988,1010
9,1,84,1073,1157
9,5,67,1157,1224
9,7,50,1224,1274
9,2,38,1274,1312
9,0,40,1312,1352
